SalesID,Date,Revenue,Department,Region,Sales Person,Postal Code,Store City
2433408,10/11/2016,4596,Electronics,Liechtenstein,"Barnett, Oliver W.",97390,Largs
2433409,22/11/2016,4290,Household Appliances,Brunei,"Sellers, Rashad H.",44-693,Völklingen
2433410,09/11/2016,6411,Household Appliances,Fiji,"Patrick, Beverly M.",67-013,Laurencekirk
2433411,18/11/2016,2351,Groceries,Australia,"Russell, Chloe E.",85478,Raymond
2433412,06/11/2016,8265,Electronics,India,"Estrada, Melissa P.",HY46 5KX,Pudahuel
2433413,24/11/2016,8249,Electronics,Mali,"Gonzales, Haviva K.",39109,Emarèse
2433414,04/11/2016,9953,Groceries,Pakistan,"Washington, Ulysses I.",99273,Rishra
2433415,14/11/2016,8312,Groceries,Haiti,"Talley, Rhiannon Y.",69975,Naihati
2433416,08/11/2016,9173,Groceries,Kazakhstan,"Alvarez, Madaline O.",AK4 2HZ,Almería
2433417,07/11/2016,3007,Groceries,Rwanda,"Branch, Xenos X.",71632,Masone
2433418,26/11/2016,2321,Household Appliances,Tunisia,"Griffith, Hedwig V.",74203,Precenicco
2433419,07/11/2016,4945,Groceries,Holy See (Vatican City State),"Levine, Chase A.",176799,Lakeshore
2433420,06/11/2016,6417,Household Appliances,Indonesia,"Moreno, Roanna F.",50598,Watermaal-Bosvoorde
2433421,29/11/2016,4431,Groceries,Togo,"Bridges, Austin O.",804960,Bergeggi
2433422,20/11/2016,1383,Household Appliances,Comoros,"Oliver, Rina J.",376752,Suxy
2433423,20/11/2016,960,Electronics,Chile,"Strong, Ramona Y.",56-923,Springdale
2433424,27/11/2016,5033,Electronics,Russian Federation,"Farmer, Lesley K.",71374,Timkur
2433425,25/11/2016,1188,Groceries,Jamaica,"Chandler, Montana R.",K8Z 6C8,Oostkerke
2433426,09/11/2016,2285,Household Appliances,Northern Mariana Islands,"Medina, Brenda C.",71797,San Ignacio
2433427,12/11/2016,6986,Household Appliances,Tokelau,"Ramos, Kyle V.",6163,Cerignola
2433428,08/11/2016,9475,Electronics,"Virgin Islands, British","Lane, Noelle D.",6232,Padre las Casas
2433429,07/11/2016,6714,Groceries,Bouvet Island,"Barry, Xander W.",2659,Moircy
2433430,12/11/2016,3629,Groceries,Barbados,"Brock, Tobias Q.",52721,Tollembeek
2433431,02/11/2016,1284,Household Appliances,Indonesia,"Maldonado, Xyla L.",41004,Westkerke
2433432,06/11/2016,9720,Groceries,Austria,"Stevenson, Lunea I.",2592JD,Bevilacqua
2433433,24/11/2016,5512,Household Appliances,Zambia,"Wyatt, Heather J.",4896,Rocourt
2433434,12/11/2016,7184,Household Appliances,Singapore,"Rojas, Clark H.",15403,Rocky Mountain House
2433435,23/11/2016,9025,Groceries,Ghana,"Contreras, Kessie K.",J6L 5K1,Lot
2433436,17/11/2016,8603,Groceries,Italy,"Wells, Alexander C.",42172,Wyoming
2433437,27/11/2016,8282,Household Appliances,Greenland,"Dunlap, Hayden H.",46974,Camrose
2433438,18/11/2016,7511,Electronics,Falkland Islands,"Good, Tashya E.",595601,Kelowna
2433439,25/11/2016,3035,Household Appliances,Bhutan,"Brooks, Francis A.",1884,Aberdeen
2433440,17/11/2016,3615,Electronics,Estonia,"Ewing, Marny E.",387263,Betim
2433441,18/11/2016,4052,Groceries,Zambia,"Griffith, Kelsey L.",1088,Sialkot
2433442,03/11/2016,213,Groceries,Fiji,"Blanchard, Alfonso M.",5688,Amqui
2433443,07/11/2016,8739,Groceries,Czech Republic,"Conrad, Xantha X.",13886,Oyen
2433444,29/11/2016,3261,Electronics,Northern Mariana Islands,"Booker, Dillon Y.",788321,Corbara
2433445,04/11/2016,5150,Household Appliances,Guyana,"Trujillo, Hall Z.",28240,Masone
2433446,07/11/2016,5153,Groceries,Algeria,"Love, Eagan B.",707433,Halle
2433447,29/11/2016,994,Household Appliances,Nicaragua,"West, Brielle A.",26471,Bon Accord
2433448,27/11/2016,3072,Electronics,Myanmar,"Flynn, Yeo L.",20491,Calle Blancos
2433449,28/11/2016,4639,Electronics,Germany,"Davidson, Taylor A.",86221,Owen Sound
2433450,27/11/2016,4797,Electronics,British Indian Ocean Territory,"Robbins, Yasir V.",489250,Ajmer
2433451,22/11/2016,5437,Electronics,Albania,"Greer, Tamara H.",41508,Merbes-Sainte-Marie
2433452,22/11/2016,1813,Groceries,Botswana,"Ellis, Lyle E.",97465,Purranque
2433453,03/11/2016,5687,Electronics,Gabon,"Christensen, Ira P.",4990,Valbrevenna
2433454,06/11/2016,5943,Electronics,Tonga,"Hardin, Nasim A.",275505,Civo
2433455,12/11/2016,7968,Household Appliances,Côte D'Ivoire (Ivory Coast),"Barlow, Maggy I.",2178,Tirúa
2433456,25/11/2016,3826,Electronics,Bermuda,"Gonzales, Aurelia F.",239,Kitimat
2433457,24/11/2016,5949,Electronics,Ireland,"Dean, Madonna W.",868198,Valda
2433458,20/11/2016,7362,Groceries,Mongolia,"Thomas, Georgia D.",4018,Obaix
2433459,26/11/2016,183,Household Appliances,Gabon,"Dennis, Elaine C.",57306,Capena
2433460,21/11/2016,3179,Electronics,Laos,"Bright, Sacha A.",802,Sunderland
2433461,21/11/2016,2663,Electronics,Mexico,"Ortega, Stacey W.",56356,Bacabal
2433462,20/11/2016,9125,Groceries,Cayman Islands,"Rios, Beck F.",455357,Comox
2433463,09/11/2016,7705,Household Appliances,Uganda,"Pope, Ross S.",5060,Tilburg
2433464,06/11/2016,461,Electronics,French Guiana,"Daugherty, Calista L.",40941-442,Rosciano
2433465,20/11/2016,7114,Electronics,Dominica,"Ochoa, Merritt E.",7785,Carlton
2433466,16/11/2016,3835,Groceries,Northern Mariana Islands,"Solomon, Cally D.",41206,Bo'ness
2433467,25/11/2016,3205,Groceries,Comoros,"Singleton, Maya P.",79513,Panketal
2433468,08/11/2016,8225,Electronics,Antarctica,"Holland, Tatyana L.",38935,Bathurst
2433469,12/11/2016,9079,Groceries,Slovenia,"Mclaughlin, Oprah L.",L5 4FY,Arsoli
2433470,24/11/2016,3159,Household Appliances,Mexico,"Steele, Donna B.",1099,Salt Spring Island
2433471,29/11/2016,4278,Groceries,Mexico,"Fleming, Jescie F.",146089,Rockford
2433472,02/11/2016,2773,Household Appliances,Tanzania,"Vargas, May C.",3165,Sambreville
2433473,10/11/2016,855,Household Appliances,Qatar,"May, Christen V.",9788,Rutten
2433474,21/11/2016,4460,Household Appliances,New Caledonia,"Patrick, Riley N.",25818,MalŽves-Sainte-Marie-Wastines
2433475,11/11/2016,5301,Electronics,Comoros,"Mcguire, Leah B.",6290RJ,Chartres
2433476,21/11/2016,6767,Household Appliances,Sudan,"Lott, Hiroko H.",5095,Haridwar
2433477,09/11/2016,8304,Household Appliances,Fiji,"Smith, Addison W.",3005,Dolceacqua
2433478,22/11/2016,3603,Household Appliances,Australia,"Alford, Haley R.",78384,Todi
2433479,20/11/2016,8055,Groceries,"Virgin Islands, British","Hull, Hamish X.",30304,Móstoles
2433480,11/11/2016,2890,Groceries,Finland,"Mendoza, Jorden N.",M4A 2R2,Meppel
2433481,15/11/2016,4599,Household Appliances,Mali,"Waller, Mariko N.",30405,Devon
2433482,05/11/2016,2613,Groceries,Equatorial Guinea,"Sears, Lewis A.",616095,Épernay
2433483,21/11/2016,6220,Household Appliances,Mongolia,"Mejia, Wynter G.",L2 3XA,Dudley
2433484,05/11/2016,6216,Electronics,Angola,"Freeman, Tarik B.",35926,Dreux
2433485,04/11/2016,4821,Electronics,Latvia,"Chase, Cassandra I.",14143,Owensboro
2433486,22/11/2016,398,Groceries,Namibia,"Tyler, Dora M.",4488,St. Veit an der Glan
2433487,22/11/2016,101,Groceries,Bulgaria,"Gaines, Cruz B.",21014,San Giuliano di Puglia
2433488,17/11/2016,9456,Groceries,Svalbard and Jan Mayen Islands,"Estrada, John O.",73257,Pemuco
2433489,23/11/2016,7292,Household Appliances,Bahrain,"Ford, Kyra Z.",6953,Owen Sound
2433490,02/11/2016,9369,Groceries,Egypt,"Kim, Destiny T.",38794,Lörrach
2433491,20/11/2016,697,Household Appliances,Sierra Leone,"Mueller, Shafira Z.",220272,Hathras
2433492,06/11/2016,6053,Household Appliances,Tajikistan,"Moss, Ross G.",61854,Ostra Vetere
2433493,20/11/2016,8273,Groceries,Liberia,"Mercado, Maryam L.",4486CM,Kimberly
2433494,10/11/2016,5189,Groceries,Belgium,"Montgomery, Jessica F.",11216,Annapolis County
2433495,21/11/2016,8058,Groceries,Faroe Islands,"Riddle, Pascale G.",2900,Scorrano
2433496,06/11/2016,3271,Household Appliances,Aruba,"Montoya, Winifred T.",149300,West Valley City
2433497,20/11/2016,1816,Groceries,Bosnia and Herzegovina,"Mack, James Q.",47916,Sankt Ingbert
2433498,16/11/2016,4073,Groceries,Suriname,"Hale, Wanda F.",59819,Fort McPherson
2433499,07/11/2016,1493,Groceries,Mali,"Barker, Marsden V.",4406PH,Ligny
2433500,02/11/2016,2979,Groceries,Cambodia,"Santos, Kevin E.",312610,Osasco
2433501,27/11/2016,1268,Electronics,Solomon Islands,"Daniels, Virginia Y.",38582,Midlands
2433502,25/11/2016,5139,Household Appliances,Malta,"Calderon, Maris S.",496592,Hertsberge
2433503,01/11/2016,4016,Electronics,Belarus,"Ewing, Lester Z.",2059,Paulista
2433504,15/11/2016,5296,Household Appliances,Angola,"Schneider, Caesar S.",XF3 1SQ,Wevelgem
2433505,20/11/2016,6581,Groceries,Kenya,"Good, Jolie F.",38203,Chepstow
2433506,26/11/2016,3731,Electronics,French Southern Territories,"Wall, Roary E.",0440PR,Scarborough
2433507,12/11/2016,1065,Electronics,Holy See (Vatican City State),"Burgess, Margaret B.",574196,Rhisnes
2433508,18/11/2016,7185,Groceries,Guatemala,"Rogers, Nita V.",8223,Zevekote
2433509,06/11/2016,1316,Electronics,Uganda,"Jenkins, Jin B.",9764,Camaragibe
2433510,21/11/2016,9411,Household Appliances,Timor-Leste,"Galloway, Theodore G.",6348,Minucciano
2433511,09/11/2016,5791,Electronics,Brunei,"Payne, Zelda P.",70813,Malbaie
2433512,28/11/2016,8250,Electronics,Mauritania,"William, Denise E.",55314,Hofheim am Taunus
2433513,23/11/2016,7087,Electronics,South Georgia and The South Sandwich Islands,"Branch, Clio D.",1824,Vitrival
2433514,12/11/2016,1941,Household Appliances,Guernsey,"Downs, August X.",1086DI,Şereflikoçhisar
2433515,16/11/2016,2997,Groceries,British Indian Ocean Territory,"Kemp, Cara Q.",S5M 2R6,Eksaarde
2433516,08/11/2016,8297,Household Appliances,Tanzania,"Allen, Jessica H.",1488GW,Reno
2433517,29/11/2016,2686,Electronics,Haiti,"Reynolds, Jenette E.",5775,Coaldale
2433518,05/11/2016,3241,Groceries,Pitcairn Islands,"Stark, Moses Z.",1433,Rosciano
2433519,26/11/2016,9707,Electronics,Montserrat,"Flynn, Barbara A.",22722,Cherbourg-Octeville
2433520,04/11/2016,7610,Electronics,Kuwait,"Meyers, Alyssa W.",37448,Tarragona
2433521,10/11/2016,3892,Household Appliances,Bolivia,"Keller, Tyrone R.",2841,Dworp
2433522,21/11/2016,9945,Household Appliances,Italy,"Ramos, Dolan C.",H2Y 6A3,Wageningen
