SalesID,Date,Revenue,Department,Region,Sales Person,Postal Code,Store City
3004046,16/11/2016,9919,Electronics,Serbia,"Holmes, Clare J.",27381,Alsemberg
3004047,03/11/2016,1252,Household Appliances,Tanzania,"Alvarado, Maya C.",21-642,Leers-et-Fosteau
3004048,24/11/2016,5611,Household Appliances,Samoa,"Miller, Medge G.",45979,Kearny
3004049,20/11/2016,5462,Groceries,American Samoa,"Ford, Thane S.",443472,Bo‘lhe
3004050,12/11/2016,913,Electronics,Chad,"Foster, Yvonne B.",3932,Miranda
3004051,28/11/2016,956,Groceries,Germany,"Robbins, Rafael H.",36069,Bremen
3004052,26/11/2016,947,Groceries,Mayotte,"Harrison, Carissa Y.",YR67 1TG,Ambleside
3004053,06/11/2016,9475,Household Appliances,Wallis and Futuna,"Warner, Sydnee X.",275292,Klosterneuburg
3004054,02/11/2016,7951,Household Appliances,Hong Kong,"Kerr, John B.",4881,Luik
3004055,22/11/2016,2453,Groceries,Thailand,"Jefferson, Lester N.",58075-518,Wolvertem
3004056,06/11/2016,9890,Electronics,Bouvet Island,"Todd, Jorden P.",784127,Sint-Pauwels
3004057,10/11/2016,4851,Household Appliances,French Southern Territories,"Duffy, Dale B.",8308,Bouwel
3004058,15/11/2016,5444,Groceries,Guernsey,"Holloway, Idola G.",10054,Challand-Saint-Victor
3004059,14/11/2016,3376,Electronics,Haiti,"Walters, Carolyn D.",39896,Rockville
3004060,11/11/2016,3068,Electronics,Bhutan,"Garner, Jesse T.",67710,Casalvieri
3004061,08/11/2016,2965,Household Appliances,Switzerland,"Hughes, Tucker O.",30478-104,Nerem
3004062,07/11/2016,9791,Household Appliances,French Southern Territories,"Fitzgerald, Petra E.",723004,Maryborough
3004063,18/11/2016,2271,Household Appliances,Spain,"Daniel, Jade R.",77477,Duncan
3004064,09/11/2016,373,Household Appliances,Denmark,"Gaines, Yeo S.",649863,Pontey
3004065,23/11/2016,1999,Household Appliances,Kenya,"Barnes, Megan D.",322335,Filey
3004066,22/11/2016,453,Groceries,Sierra Leone,"Guzman, Zephr E.",R8M 9E1,Valverde
3004067,16/11/2016,9356,Groceries,Bosnia and Herzegovina,"Mejia, Stella C.",89421,Sommethonne
3004068,12/11/2016,1879,Electronics,Jersey,"Nash, Karyn Y.",9244,Sainte-Marie-Chevigny
3004069,11/11/2016,5702,Household Appliances,Trinidad and Tobago,"Nixon, Geraldine S.",Z20 6LK,Motta Sant'Anastasia
3004070,15/11/2016,2064,Household Appliances,"Congo, the Democratic Republic of the","Dickerson, Tanek A.",7642DD,Vico nel Lazio
3004071,03/11/2016,9139,Electronics,Eritrea,"Mullen, Bevis T.",3489,Sterrebeek
3004072,08/11/2016,3862,Groceries,Somalia,"Velasquez, Len G.",43529,Wambeek
3004073,11/11/2016,8782,Electronics,Guam,"Shepherd, Sasha L.",68487,Verrayes
3004074,28/11/2016,9231,Household Appliances,Philippines,"Robbins, Celeste K.",65679,Bowden
3004075,08/11/2016,8060,Household Appliances,Grenada,"Watts, Kitra E.",493854,Alacant
3004076,24/11/2016,6234,Groceries,Tuvalu,"Mcintyre, Paula Z.",511824,Jerzu
3004077,07/11/2016,976,Groceries,Solomon Islands,"Douglas, Susan N.",7908AK,Brindisi
3004078,03/11/2016,5307,Electronics,Djibouti,"Butler, Iona R.",81056-211,Rio Verde
3004079,12/11/2016,9385,Household Appliances,Malaysia,"Rosa, Leigh X.",5970GY,Shreveport
3004080,13/11/2016,5850,Household Appliances,Sierra Leone,"Hobbs, Buffy F.",41931,Haguenau
3004081,28/11/2016,1209,Electronics,Belgium,"Schmidt, Tatyana Y.",738620,Stilo
