Date,Transaction Amount,Department,Cashier,Store ZIP,Store City,Store Region
01/01/2016,6380,Groceries,"Mcgowan, Thor G.",56494,Dieppe,Macedonia
01/01/2016,1468,Groceries,"Mcintosh, Desirae J.",5474,Thorn,Taiwan
01/01/2016,8276,Electronics,"Mckee, Walter V.",9391,Siculiana,Austria
01/01/2016,2116,Electronics,"Mcneil, Alfonso B.",23888,Chambave,Montserrat
01/01/2016,2536,Groceries,"Parker, Mohammad C.",56920,Temuka,Thailand
01/01/2016,5306,Groceries,"Pitts, Carson N.",B7A 3Y3,Alvito,Israel
01/01/2016,1549,Household Appliances,"Rios, Isabella D.",Q5D 4SV,Warwick,Mauritania
01/01/2016,2397,Household Appliances,"Romero, Ferdinand U.",38790,Amravati,Venezuela
01/01/2016,1956,Electronics,"Short, Lee Y.",75922,Port Hope,Burkina Faso
01/01/2016,9524,Groceries,"Thomas, Zelda C.",39502,Bellegem,Wallis and Futuna
01/01/2016,464,Groceries,"Wade, Rigel E.",133116,Denderbelle,Bermuda
01/01/2016,4954,Electronics,"Whitehead, Damian E.",36868-846,Durham,Bosnia and Herzegovina
01/01/2016,1235,Electronics,"Whitfield, Margaret Z.",5769QZ,Nashville,Qatar
02/01/2016,2770,Electronics,"Alvarez, Uriel N.",149991,Rutten,Singapore
02/01/2016,8100,Household Appliances,"Booker, Constance H.",27529,Jodoigne-Souveraine,Bouvet Island
02/01/2016,4604,Electronics,"Booker, Shea B.",07-049,Jaén,New Caledonia
02/01/2016,755,Household Appliances,"Bradley, Odysseus F.",84466,Rothesay,Singapore
02/01/2016,5413,Electronics,"Branch, Reuben F.",83-758,Magdeburg,Nauru
02/01/2016,1079,Electronics,"Chavez, Orlando J.",2800,Cannalonga,Dominican Republic
02/01/2016,4602,Electronics,"Coleman, Tad P.",97383,Zandhoven,Tanzania
02/01/2016,6440,Groceries,"Fernandez, Logan R.",80425,Cumbernauld,Latvia
02/01/2016,9070,Electronics,"Franklin, Kirk O.",22766,Maracanaú,Dominica
02/01/2016,9495,Electronics,"Garrett, Yardley V.",298883,Balıkesir,Congo (Brazzaville)
02/01/2016,8464,Groceries,"Graves, Savannah F.",90381,Lourdes,Lithuania
02/01/2016,2768,Groceries,"Huffman, Herman X.",2163,Ganshoren,Rwanda
02/01/2016,1758,Groceries,"Leach, Quemby S.",72-439,Oostende,Bahamas
02/01/2016,4523,Groceries,"Mccullough, Norman I.",KM2U 3TT,Cockburn,Indonesia
02/01/2016,3637,Electronics,"Morrison, Nero D.",5290,Terrance,Palau
02/01/2016,964,Electronics,"Robbins, Audrey W.",54509,Pollein,Ghana
02/01/2016,7996,Groceries,"Robinson, Lacy S.",53744,Tongrinne,Monaco
02/01/2016,3682,Groceries,"Rosales, Lois C.",767605,Juneau,Haiti
02/01/2016,9361,Groceries,"Rowland, Orla C.",98920,Salice Salentino,Oman
02/01/2016,3757,Household Appliances,"Sexton, Price V.",39881,Riparbella,Uganda
02/01/2016,5312,Groceries,"Sharpe, Giacomo V.",9145,Chile Chico,Poland
02/01/2016,9312,Groceries,"Shepherd, Hashim X.",3931,Raichur,Norway
02/01/2016,4208,Groceries,"Snyder, Isabelle U.",11513,Beaconsfield,Reunion
02/01/2016,7447,Electronics,"Valentine, Arsenio E.",7610,Durg,Swaziland
02/01/2016,2942,Household Appliances,"Yates, Dana V.",6102,Moradabad,Thailand
02/01/2016,1766,Groceries,"Young, Zeus S.",H4M 8L4,Gentinnes,Tanzania
03/01/2016,6958,Groceries,"Chaney, Maile A.",8072,Turrialba,Benin
03/01/2016,9788,Groceries,"Cochran, Wesley W.",23156,Shepparton,Cayman Islands
03/01/2016,3010,Groceries,"Conrad, Alyssa Z.",48665,Ambattur,Mali
03/01/2016,6032,Groceries,"Cooper, Stacey R.",8230BG,Te Puke,Brazil
03/01/2016,8284,Electronics,"Copeland, Ignatius Z.",88-175,Polatlı,Martinique
03/01/2016,279,Electronics,"David, Eaton N.",945855,Dubuisson,Israel
03/01/2016,3515,Electronics,"Grimes, Rowan P.",6430,Wellingborough,Sao Tome and Principe
03/01/2016,499,Electronics,"Hodge, Hedda N.",7825,Kilsyth,Swaziland
03/01/2016,2615,Groceries,"Lewis, Bryar D.",42300,Herne,Rwanda
03/01/2016,5789,Household Appliances,"Lynch, Doris Q.",CQ5U 8GK,Collipulli,Holy See (Vatican City State)
03/01/2016,6134,Groceries,"Mccarthy, Kelly F.",68160,Marentino,Austria
03/01/2016,6430,Electronics,"Nixon, Ciara N.",4036,Nantes,Belgium
03/01/2016,3266,Electronics,"Ramirez, Joshua I.",69869,Rocky Mountain House,Suriname
03/01/2016,2565,Household Appliances,"Roberts, Ciara H.",41502,Kitchener,Belize
03/01/2016,6868,Household Appliances,"Romero, Travis O.",615145,Tomé,Barbados
03/01/2016,2999,Groceries,"Wise, Amber Q.",60979,Brandenburg,Guam
03/01/2016,6734,Groceries,"Wise, Tatyana P.",55663,Verzegnis,Afghanistan
03/01/2016,6971,Household Appliances,"Wolf, Marah P.",4989,Overrepen,Poland
03/01/2016,5965,Groceries,"Woods, MacKensie V.",28254-359,Neuss,Australia
04/01/2016,9270,Household Appliances,"Alvarez, Ira K.",21310,Whitehaven,Armenia
04/01/2016,8815,Groceries,"Anthony, Charissa S.",6908,Huechuraba,"Virgin Islands, British"
04/01/2016,5381,Household Appliances,"Arnold, Xaviera C.",7050,Guarulhos,Thailand
04/01/2016,3575,Groceries,"Avila, Eric G.",87-377,Curaco de Vélez,Paraguay
04/01/2016,2932,Household Appliances,"Barrett, Ori A.",1589,Bharatpur,Mexico
04/01/2016,5029,Household Appliances,"Barton, Tamara N.",759706,Watermaal-Bosvoorde,Cook Islands
04/01/2016,7730,Groceries,"Bowen, Kelly T.",42469,Talence,Mongolia
04/01/2016,8895,Household Appliances,"Bush, Unity Z.",725264,Suarlee,Uganda
04/01/2016,5085,Household Appliances,"Castillo, Geoffrey W.",35156,Lewiston,Montserrat
04/01/2016,1815,Electronics,"Cortez, Maris Z.",21-670,Noicattaro,Tonga
04/01/2016,561,Groceries,"Dickerson, Katelyn R.",0174NE,Angoulême,Holy See (Vatican City State)
04/01/2016,89,Electronics,"Finley, Stewart X.",H1C 9W5,Sant'Elpidio a Mare,Åland Islands
04/01/2016,3491,Electronics,"Ford, Colleen A.",93436,Rae-Edzo,Bahamas
04/01/2016,2976,Groceries,"Foreman, Rhonda E.",0057BX,Tiruchirapalli,Estonia
04/01/2016,8217,Groceries,"Foster, Daphne A.",903314,Lavoir,Christmas Island
04/01/2016,1286,Groceries,"Holcomb, Vivien I.",A2R 2W7,Baie-d'Urf�,Antarctica
04/01/2016,7161,Electronics,"Hooper, Sasha K.",806944,Amlwch,South Sudan
04/01/2016,7119,Groceries,"Kaufman, Brittany H.",6811,Flint,Macao
04/01/2016,1633,Groceries,"Knowles, Katell Q.",2058,Nacimiento,Chile
04/01/2016,7354,Groceries,"Lewis, Zachery C.",405410,Muzaffargarh,China
04/01/2016,1410,Groceries,"Mack, Sheila W.",65-833,Termoli,Burundi
04/01/2016,7099,Household Appliances,"Mckay, Tanner Q.",723579,Moxhe,Austria
04/01/2016,9274,Groceries,"Mckinney, Zena F.",87120,Londerzeel,Israel
04/01/2016,9747,Household Appliances,"Nelson, Cora E.",21212,Wieze,Maldives
04/01/2016,6718,Electronics,"Noble, MacKensie I.",0081DV,St. John's,Moldova
04/01/2016,904,Electronics,"Pearson, Dillon K.",8589,Trevignano Romano,Venezuela
04/01/2016,587,Electronics,"Preston, Kessie K.",11324,Shrewsbury,Moldova
04/01/2016,471,Groceries,"Raymond, Paula I.",9045,Shimoga,Northern Mariana Islands
04/01/2016,7023,Electronics,"Reynolds, Stephanie L.",47621,Eckville,Israel
04/01/2016,8508,Groceries,"Ross, Larissa F.",56925-098,Velden am Wörther See,Falkland Islands
04/01/2016,9558,Groceries,"Savage, Sydney J.",1880,Grand-Reng,Dominican Republic
04/01/2016,9380,Groceries,"Summers, Asher K.",29662-372,Blevio,Slovenia
04/01/2016,5487,Electronics,"Wong, Mariam H.",G1A 7G7,Radicofani,Oman
05/01/2016,2886,Electronics,"Anthony, Kaitlin O.",788509,Buin,Morocco
05/01/2016,5660,Electronics,"Bates, Iola R.",7809,HŽlŽcine,Bhutan
05/01/2016,706,Household Appliances,"Beasley, Ifeoma S.",5724,Bruderheim,Suriname
05/01/2016,9541,Electronics,"Black, Illana J.",39-691,Berwick,Rwanda
05/01/2016,1258,Groceries,"Bolton, Barrett D.",25803-701,Autre-Eglise,Timor-Leste
05/01/2016,783,Electronics,"Chan, Whoopi T.",226707,Abbateggio,Mali
05/01/2016,9337,Electronics,"Clay, Neil I.",554995,Edam,Tunisia
05/01/2016,9360,Electronics,"Conrad, Natalie U.",1112,Warisoulx,Barbados
05/01/2016,5302,Household Appliances,"Crawford, Angela G.",41003,Bromley,Greece
05/01/2016,5527,Groceries,"Decker, Ocean Q.",7431,Huechuraba,Uruguay
05/01/2016,6091,Electronics,"Fischer, Kerry P.",66077,Cumnock,"Bonaire, Sint Eustatius and Saba"
05/01/2016,4553,Household Appliances,"Fuller, Breanna F.",80547-327,Milwaukee,Micronesia
05/01/2016,2193,Electronics,"Greer, Nerea X.",5836,Tarcento,Cyprus
05/01/2016,228,Groceries,"Heath, Xenos T.",940402,Purnea,Holy See (Vatican City State)
05/01/2016,1066,Electronics,"Hewitt, Susan K.",J6Z 2R5,Divinópolis,Bouvet Island
05/01/2016,1070,Household Appliances,"Houston, Tasha U.",7225QF,Bulandshahr,Mayotte
05/01/2016,1653,Household Appliances,"Jennings, Whilemina C.",22376,Tirrases,Dominican Republic
05/01/2016,5035,Electronics,"Joseph, Amal R.",24-110,Belgrave,Algeria
05/01/2016,5258,Household Appliances,"Mccarthy, Aurora Z.",99515,Langholm,Greece
05/01/2016,3947,Groceries,"Mcdaniel, Jemima V.",R6L 1H3,Sesto al Reghena,Cayman Islands
05/01/2016,6341,Household Appliances,"Molina, Lysandra V.",25902,Rea,French Guiana
05/01/2016,2234,Household Appliances,"Mooney, Adena B.",J2Z 8N3,Sant'Egidio alla Vibrata,Tanzania
05/01/2016,5729,Electronics,"Noel, Akeem O.",RP8N 1DB,Gulfport,Christmas Island
05/01/2016,7054,Groceries,"Ortiz, Michelle L.",41612,Windermere,Marshall Islands
05/01/2016,2992,Electronics,"Pratt, Chloe W.",S1A 7R1,Montluçon,Falkland Islands
05/01/2016,5147,Groceries,"Rowland, Alden M.",957532,Geleen,Luxembourg
05/01/2016,9197,Groceries,"Sampson, Victoria S.",8808,Goutroux,Belgium
05/01/2016,8741,Groceries,"Scott, Darrel C.",F2 1NX,Fraser-Fort George,Heard Island and Mcdonald Islands
05/01/2016,9212,Groceries,"Sears, Rina D.",12995,Toltén,Georgia
05/01/2016,9017,Electronics,"Sparks, Lionel D.",70232,Souvret,United States Minor Outlying Islands
05/01/2016,2146,Groceries,"Tanner, Meghan W.",99-136,Vadodara,United Arab Emirates
05/01/2016,7021,Electronics,"Wheeler, Ursa C.",70812,Codigoro,"Korea, South"
05/01/2016,9091,Electronics,"Whitaker, Zahir W.",6483UR,Salisbury,Canada
05/01/2016,2342,Household Appliances,"Wilcox, Tarik B.",21444,Sneek,Micronesia
06/01/2016,321,Groceries,"Ashley, Molly V.",8770,Hulste,Azerbaijan
06/01/2016,3743,Electronics,"Barnes, Alden V.",2111,Bear,Estonia
06/01/2016,6561,Groceries,"Buck, Boris E.",20-779,Guntakal,Kiribati
06/01/2016,9437,Groceries,"Castaneda, Idona R.",93665,Jönköping,Azerbaijan
06/01/2016,3123,Household Appliances,"Dunn, Cole T.",205064,Telford,Kiribati
06/01/2016,1278,Household Appliances,"Gallagher, Otto X.",40994,Quillón,Malta
06/01/2016,3683,Electronics,"Garner, Pandora J.",2677,Dingwall,Macedonia
06/01/2016,1098,Household Appliances,"Hanson, Dalton N.",5294,Rhyl,Timor-Leste
06/01/2016,2672,Electronics,"Hinton, Laith F.",48581,Fairbanks,French Guiana
06/01/2016,5359,Electronics,"Howe, Haviva N.",66215,Belfast,Belgium
06/01/2016,2310,Electronics,"Humphrey, Blake Z.",AJ0 9XY,Marneffe,Belize
06/01/2016,7540,Groceries,"Meyers, Dominic H.",3705,Gibsons,French Southern Territories
06/01/2016,5281,Groceries,"Neal, Brenden W.",81673,Masone,Peru
06/01/2016,3292,Household Appliances,"Nielsen, Helen R.",4824,Bad Vöslau,Sudan
06/01/2016,4314,Groceries,"Nielsen, Rama C.",V8M 0A5,Buckie,Honduras
06/01/2016,7454,Electronics,"Rocha, Burton S.",5742,Bellevue,Dominican Republic
06/01/2016,7471,Electronics,"Schwartz, Giselle E.",72544,Vanier,Palau
06/01/2016,9400,Household Appliances,"Shannon, Hanna G.",6999,Saint-Urbain,Pakistan
06/01/2016,3894,Household Appliances,"Short, Minerva S.",61849,Monteleone di Spoleto,Åland Islands
06/01/2016,9636,Electronics,"Skinner, Rafael D.",75-766,Voitsberg,Zambia
06/01/2016,1879,Electronics,"Stark, Barry W.",76234-943,Campochiaro,Bhutan
06/01/2016,9794,Groceries,"Villarreal, Hakeem R.",325248,Wichelen,China
06/01/2016,6908,Groceries,"Villarreal, Xander N.",20783,Llaillay,Mayotte
06/01/2016,632,Electronics,"Ward, Boris D.",S4T 2X4,Rattray,Sao Tome and Principe
06/01/2016,8934,Groceries,"Zimmerman, Ursa H.",92090,Sint-Genesius-Rode,Germany
07/01/2016,5230,Household Appliances,"Adkins, Erin K.",39740,Springfield,"Virgin Islands, British"
07/01/2016,1296,Electronics,"Alexander, Lacey V.",7898,Kahramanmaraş,Nauru
07/01/2016,5212,Household Appliances,"Barr, Halla A.",61095,Wadgassen,Svalbard and Jan Mayen Islands
07/01/2016,9894,Household Appliances,"Beach, Devin H.",97261,Maracalagonis,Guatemala
07/01/2016,7471,Household Appliances,"Blevins, Nash Q.",7648,Bertiolo,"Korea, North"
07/01/2016,3370,Electronics,"Bowers, Griffin J.",98417,Wismar,Turkey
07/01/2016,1169,Groceries,"Crane, Ezra J.",11208,Sint-Renelde Saintes,Panama
07/01/2016,3187,Groceries,"Downs, Tanya Z.",85057,Baddeck,Falkland Islands
07/01/2016,5855,Electronics,"Fernandez, Zephr F.",30101,Beerzel,Mauritania
07/01/2016,7274,Groceries,"Figueroa, Charissa C.",R2X 7X2,Farrukhabad-cum-Fatehgarh,Bahrain
07/01/2016,9829,Groceries,"Jackson, Jade E.",2504,Fredericton,Mexico
07/01/2016,7993,Household Appliances,"Leon, Wylie W.",07-686,Périgueux,Taiwan
07/01/2016,8221,Household Appliances,"Lloyd, Beau O.",8286,Clermont-Ferrand,Bosnia and Herzegovina
07/01/2016,4617,Household Appliances,"Mcfarland, Martin C.",466365,Pollein,Switzerland
07/01/2016,690,Household Appliances,"Moses, Haley T.",39482,Caccamo,Northern Mariana Islands
07/01/2016,7079,Electronics,"Noel, Micah B.",839768,Cochrane,Cyprus
07/01/2016,7134,Electronics,"Reilly, Leroy B.",76646,SŽlange,Eritrea
07/01/2016,8532,Household Appliances,"Rush, Jemima L.",64147,Profondeville,Central African Republic
07/01/2016,2081,Electronics,"Shepherd, Nissim X.",G6L 2A0,María Pinto,Austria
07/01/2016,1575,Household Appliances,"Small, Dale W.",56133,Saint-Pierre,Northern Mariana Islands
07/01/2016,5828,Electronics,"Turner, Pearl G.",82689,Melle,Namibia
07/01/2016,9695,Household Appliances,"Vasquez, Quynn O.",94-960,Machelen,French Southern Territories
08/01/2016,7424,Electronics,"Baker, Jenna N.",89572,Tenali,Chile
08/01/2016,2195,Household Appliances,"Bell, Brooke S.",B3J 4X0,Vico del Gargano,Nigeria
08/01/2016,7614,Groceries,"Blankenship, Latifah Y.",65788,Musselburgh,Burundi
08/01/2016,7244,Groceries,"Cain, Allistair V.",71192,FlŽnu,Barbados
08/01/2016,3721,Groceries,"Carpenter, Abra R.",16878,Massa e Cozzile,Cayman Islands
08/01/2016,3241,Household Appliances,"Castro, Brianna B.",358804,Abbeville,Bouvet Island
08/01/2016,7747,Household Appliances,"Chambers, Dara N.",9509,Goulburn,Tokelau
08/01/2016,8870,Electronics,"Dudley, Arthur A.",10811,Meix-le-Tige,Guernsey
08/01/2016,5023,Electronics,"Fitzgerald, Ulric F.",50525,Russell,United States
08/01/2016,4076,Electronics,"Frank, Todd H.",355098,Meerle,Greece
08/01/2016,8437,Household Appliances,"Goff, Reed E.",65908,Guildford,Chile
08/01/2016,6063,Household Appliances,"Heath, Rigel U.",3355,Pointe-au-Pic,Guadeloupe
08/01/2016,9359,Household Appliances,"Huffman, Kermit O.",2337,Southampton,Mexico
08/01/2016,5938,Groceries,"Koch, Jada X.",10305,Gorzów Wielkopolski,Latvia
08/01/2016,4782,Household Appliances,"Le, Charity D.",49294,Beaumaris,Bangladesh
08/01/2016,157,Household Appliances,"Love, Quinn T.",9307QV,Frankfurt,Gabon
08/01/2016,1987,Groceries,"Macdonald, Kylynn A.",2785,Bhatinda,Slovakia
08/01/2016,8779,Electronics,"Moran, Stephanie A.",54796,Grobbendonk,Cocos (Keeling) Islands
08/01/2016,130,Household Appliances,"Osborne, Kasper I.",99189-256,San Giovanni la Punta,Iceland
08/01/2016,9038,Household Appliances,"Paul, Althea S.",2000XW,Toulon,Saint Pierre and Miquelon
08/01/2016,4396,Household Appliances,"Perez, Clayton B.",A5Z 6W0,Walsall,Sudan
08/01/2016,710,Household Appliances,"Sanchez, Jael U.",6179,Onitsha,Denmark
08/01/2016,7018,Groceries,"Shelton, Flavia K.",27892,Mesa,Libya
08/01/2016,4476,Groceries,"Sims, Kenyon T.",6163,Karapınar,Tajikistan
08/01/2016,8716,Household Appliances,"Solis, Kaden M.",248,Empedrado,India
08/01/2016,3397,Groceries,"Stout, Steel E.",43151,Introd,Wallis and Futuna
08/01/2016,214,Groceries,"Willis, Maggy N.",63839,Tsiigehtchic,Isle of Man
08/01/2016,4618,Electronics,"Wong, Hamish V.",824574,Sant'Elpidio a Mare,"Virgin Islands, British"
08/01/2016,1989,Electronics,"Zimmerman, Yeo T.",2593,Castlegar,"Palestine, State of"
09/01/2016,3413,Electronics,"Calhoun, Nola V.",69442,Villarrica,Niue
09/01/2016,6203,Electronics,"Collier, Callie I.",3837,North Berwick,Saint Vincent and The Grenadines
09/01/2016,6012,Groceries,"Collier, Catherine Z.",91159-272,Pocatello,Marshall Islands
09/01/2016,8374,Electronics,"Cooley, Petra W.",8611,Vitrolles,Luxembourg
09/01/2016,5220,Groceries,"Delgado, Hayes I.",48198,Kingston-on-Thames,Equatorial Guinea
09/01/2016,5988,Household Appliances,"Graham, Honorato O.",T8M 1L5,Munger,Timor-Leste
09/01/2016,5664,Household Appliances,"Guzman, Brody M.",U4 0XX,Lelystad,Holy See (Vatican City State)
09/01/2016,5877,Electronics,"Hewitt, Fay C.",31356,Libramont-Chevigny,Liechtenstein
09/01/2016,4823,Groceries,"Hoffman, Yoko O.",55616,Riksingen,Uzbekistan
09/01/2016,6373,Groceries,"Hopper, Kenneth O.",46911,Te Puke,Zimbabwe
09/01/2016,2651,Household Appliances,"Huff, Maxine L.",58503,Toltén,Philippines
09/01/2016,9120,Household Appliances,"Jackson, Baxter W.",848212,Hatfield,"Virgin Islands, British"
09/01/2016,7291,Household Appliances,"Odom, Felicia Z.",72-837,Martigues,Morocco
09/01/2016,6723,Groceries,"Odom, Kendall V.",847573,Eernegem,United States
09/01/2016,7073,Groceries,"Potts, Amena K.",30304,Booischot,Antarctica
09/01/2016,9861,Groceries,"Sherman, Pandora I.",11736-543,Abeokuta,Ecuador
09/01/2016,954,Household Appliances,"Simpson, Shellie U.",3997,Saint-Prime,Albania
09/01/2016,9977,Household Appliances,"Snyder, Jemima A.",7316,Cisnes,Micronesia
09/01/2016,733,Groceries,"Velasquez, Kylynn K.",40821,Burnpur,Burkina Faso
09/01/2016,5151,Groceries,"Villarreal, Kieran R.",37663,Morhet,Equatorial Guinea
09/01/2016,3093,Electronics,"Warner, Dante Y.",18556-451,Taunusstein,Trinidad and Tobago
09/01/2016,6652,Groceries,"Woodward, Maxine Z.",LE5O 8PL,Halle,Grenada
10/01/2016,6018,Groceries,"Atkinson, TaShya N.",22329,Bhusawal,British Indian Ocean Territory
10/01/2016,7799,Groceries,"Bowen, Cleo O.",8214,Satriano di Lucania,Holy See (Vatican City State)
10/01/2016,9419,Groceries,"Case, Juliet L.",90-112,Diksmuide,Singapore
10/01/2016,5654,Household Appliances,"Donaldson, Hector A.",36061,Kanpur Cantonment,Vanuatu
10/01/2016,5009,Electronics,"Ferguson, Orson C.",66832,Sunderland,Ireland
10/01/2016,7981,Electronics,"Greene, Hanna K.",P7N 9RC,Kohima,Anguilla
10/01/2016,4908,Household Appliances,"Guzman, Robert C.",3085GE,Calbuco,France
10/01/2016,3311,Groceries,"Hogan, Kelly Y.",6842,Chambord,Guinea-Bissau
10/01/2016,5480,Groceries,"Jackson, Emi C.",77519,Louvain-la-Neuve,Netherlands
10/01/2016,2338,Electronics,"Lindsay, Ryder X.",10-636,Blois,Bahamas
10/01/2016,4635,Groceries,"Mcdonald, Vanna V.",78259,Jabbeke,San Marino
10/01/2016,6889,Household Appliances,"Montgomery, Raja N.",52265,Tuticorin,"Virgin Islands, United States"
10/01/2016,4294,Electronics,"Morton, Tanner X.",54050,Gravilias,Laos
10/01/2016,1233,Electronics,"Page, Erich U.",97001,Värnamo,Kyrgyzstan
10/01/2016,8918,Household Appliances,"Petty, Cassady Q.",6415DJ,Llanelli,Morocco
10/01/2016,571,Household Appliances,"Ramsey, Imogene D.",44795,Aurangabad,"Korea, North"
10/01/2016,1656,Household Appliances,"Sawyer, Xavier D.",29110-493,Moircy,Uganda
10/01/2016,6184,Household Appliances,"Valenzuela, Gemma V.",6167,Newark,Cambodia
10/01/2016,7529,Electronics,"Wilcox, Quintessa N.",771386,Mattersburg,Holy See (Vatican City State)
10/01/2016,6699,Electronics,"Wilder, Justin W.",30683,Cinisi,Armenia
11/01/2016,7998,Groceries,"Acosta, Ila U.",1049,Eghezee,Macedonia
11/01/2016,1975,Electronics,"Ball, Heather V.",73762,Saint-Pierre,French Southern Territories
11/01/2016,995,Electronics,"Barber, Raya K.",8539,Drayton Valley,Mozambique
11/01/2016,6560,Electronics,"Benton, Jana V.",3385,Dieppe,Laos
11/01/2016,6590,Household Appliances,"Britt, Evangeline U.",6958AB,Bassano in Teverina,Norway
11/01/2016,18,Household Appliances,"Carney, Zoe W.",1586,Great Yarmouth,Greece
11/01/2016,9107,Household Appliances,"Clements, Katell S.",78-756,Musselburgh,Malawi
11/01/2016,5723,Household Appliances,"Contreras, Orlando C.",692789,Shawinigan,Puerto Rico
11/01/2016,5097,Household Appliances,"Cummings, Shaeleigh U.",03901-747,Cavaso del Tomba,"Palestine, State of"
11/01/2016,5970,Electronics,"England, Sharon R.",4424,Bellevue,Gabon
11/01/2016,3902,Groceries,"Frederick, Maxwell V.",19116,Wernigerode,Egypt
11/01/2016,1398,Groceries,"Knox, Ciara F.",757704,Grande Cache,Dominica
11/01/2016,647,Household Appliances,"Lucas, Chastity V.",5641,Waterbury,Comoros
11/01/2016,9248,Household Appliances,"Morrison, Ariel E.",413179,Amsterdam,Serbia
11/01/2016,8341,Groceries,"Mullins, Sebastian W.",310229,Cáceres,Madagascar
11/01/2016,7038,Electronics,"Nguyen, Sheila W.",37840,Castelvetere in Val Fortore,Gabon
11/01/2016,9923,Household Appliances,"Richard, Rogan X.",18369,San Pedro de Atacama,Guam
11/01/2016,7353,Household Appliances,"Rivera, Freya P.",94444,Valparai,Saint Pierre and Miquelon
11/01/2016,1577,Groceries,"Roman, Hedy T.",4000,Monceau-sur-Sambre,Slovakia
11/01/2016,5133,Groceries,"Solomon, William Y.",599145,Oklahoma City,Liechtenstein
11/01/2016,2478,Electronics,"Stafford, Hanae O.",1706,Gespeg,Israel
11/01/2016,7437,Electronics,"Swanson, Abel A.",19293,North Bay,Taiwan
11/01/2016,1290,Electronics,"Vinson, Rebekah R.",8096,Luttre,Martinique
11/01/2016,3011,Groceries,"Webb, Melinda I.",49882,Harrisburg,Panama
11/01/2016,2497,Household Appliances,"Winters, Dana B.",26980,Peumo,Zambia
12/01/2016,940,Electronics,"Aguirre, Breanna G.",89045-355,Pinneberg,Martinique
12/01/2016,2004,Groceries,"Alston, Reed F.",636070,Cabras,Pitcairn Islands
12/01/2016,3518,Electronics,"Anderson, Chaney O.",8674UO,Viersel,Suriname
12/01/2016,8905,Household Appliances,"Byrd, Armando R.",T2M 7V2,New Orleans,Marshall Islands
12/01/2016,7599,Household Appliances,"Carver, Julie O.",57330,Mores,Cuba
12/01/2016,2348,Household Appliances,"Cline, Latifah X.",0677ZJ,Eastbourne,Morocco
12/01/2016,8051,Groceries,"Dillard, Leah H.",2635MX,Coleville Lake,Congo (Brazzaville)
12/01/2016,2122,Household Appliances,"Eaton, Wyatt Z.",11690,Bajardo,Indonesia
12/01/2016,9993,Groceries,"English, Kaden Q.",7572,Greenlaw,Macao
12/01/2016,32,Electronics,"Garza, Price U.",3261,Tirúa,Colombia
12/01/2016,198,Electronics,"Houston, Steel E.",711685,Laurencekirk,Malawi
12/01/2016,8043,Household Appliances,"Irwin, Vladimir K.",6469,Attigliano,Ireland
12/01/2016,5544,Groceries,"Maynard, Yvonne A.",5734,Ripacandida,"Saint Helena, Ascension and Tristan da Cunha"
12/01/2016,5181,Household Appliances,"Mcintosh, Aquila Y.",3338,Liverpool,Wallis and Futuna
12/01/2016,9586,Household Appliances,"Murray, Neville R.",28729,Boussu-lez-Walcourt,Saudi Arabia
12/01/2016,4688,Household Appliances,"Norton, Lester B.",0710BI,Torquay,Central African Republic
12/01/2016,3729,Groceries,"Puckett, Brynne O.",01458-004,Maracanaú,Denmark
