Email,Profile URL,City,Type
gamma@icloud.com,http://anger.example.net/appliance?advertisement=brick,Lubbock,Business
carreras@comcast.net,https://www.example.com/,Scottsdale,Consumer
granboul@icloud.com,https://www.example.com/believe,Reno,Consumer
nanop@yahoo.ca,http://www.example.com/apparatus/afternoon,Buffalo,Consumer
martink@mac.com,https://www.example.org/bit.aspx,Gilbert[q],Consumer
sassen@yahoo.com,https://bikes.example.com/,Glendale,Consumer
peoplesr@verizon.net,http://aunt.example.com/bat/afternoon.php,North Las Vegas,Consumer
willg@gmail.com,https://arm.example.com/,Winston–Salem,Consumer
dgriffith@gmail.com,http://example.com/apparatus.html,Chesapeake[m],Consumer
pajas@verizon.net,http://example.com/arm,Norfolk[m],Consumer
bachmann@optonline.net,https://bag.example.com/basketball.php#arch,Fremont,Business
citadel@live.com,https://www.example.com/#boundary,Garland,Business
kayvonf@live.com,https://www.example.com/?arm=amount,Irving,Business
esbeck@msn.com,https://example.net/,Hialeah,Business
pizza@hotmail.com,https://battle.example.com/birthday,Richmond[m],Business
dkrishna@outlook.com,https://arch.example.net/?bee=branch&baby=attraction,Boise[r],Business
knorr@msn.com,http://angle.example.net/,Spokane,Business
arebenti@icloud.com,http://example.com/addition,Baton Rouge[s],Business
