ID,RECIPIENT_NAME,RECIPIENT_STREET,RECIPIENT_CITY,RECIPIENT_POSTAL,RECIPIENT_REGION,SHIPMODE,TRACEID,STATUS
663936386_83AF63BA-DE3A-D586-12A2-C85FFD548985,Chantale Y. Landry,"P.O. Box 300, 4573 Suspendisse Ave",Olathe,35041,KS,Next-Day,FA47AC6F-B9A4-41FD-A596-9284BFADA8F2,IN NETWORK
663936387_D8000203-63FE-3E8E-C2D8-D03DE1429481,Kitra L. Wolf,9865 Felis Avenue,Norfolk,45300,Virginia,Express,8C7DB06F-B960-494C-508B-E7C4799A34CE,PENDING COLLECTION
663936388_6E9C5B0A-A242-3E0F-C86F-AD1F859316C6,Wyatt R. Bates,5438 Curabitur Street,Aurora,38406,Colorado,Next-Day,2F576580-253A-E1AE-8C29-9EED9BCBBBD1,HANDED TO CARRIER
663936389_4F1B3AD0-85E6-7DB9-E422-A955950143DD,Grant A. Armstrong,"P.O. Box 926, 3601 Euismod Street",Gresham,92207,Oregon,Express,A0331D4C-BB38-854E-0C80-A122A0FB31B1,PENDING COLLECTION
663936390_2ABE7862-015E-A0B6-B1EC-F3D3C9F60D5E,Callum E. Abbott,"3912 At, Street",Lakewood,92562,Colorado,Standard,1F5F7924-5DDC-267B-4CAC-7CE7BE64BB1E,PREPARING SHIPMENT
663936391_15FDCCA1-ADAC-BF91-9B90-8E3DCBD4850C,Knox N. Mccarthy,6852 Et Rd.,Kailua,53154,HI,Express,DCA8796C-0072-DD5D-3CFA-F15240302105,PREPARING SHIPMENT
663936392_927E9DE1-ECDE-8346-8846-D62A11AD86EC,Ariel N. Hooper,646-195 Nunc Avenue,Milwaukee,86648,Wisconsin,Standard,B1CB69AD-5C96-037C-DB06-BAD09541BDB7,HANDED TO CARRIER
663936393_5C06DE7D-CF77-BEC8-8097-6CE10AA17D10,Lacy R. Dejesus,"P.O. Box 478, 2798 Ullamcorper, Road",West Valley City,26913,Utah,Next-Day,C09F4791-1DB8-1144-FF8D-A994435EA164,IN NETWORK
663936394_D159609C-B517-63F5-8393-D0A70FF7AC38,Christine T. Perez,189-7142 Nunc Street,Fort Smith,71514,Arkansas,Express,1CA1BD3B-7B48-3297-8854-67F15C2AD2EF,DELIVERED
663936395_1AAD3504-A180-B6E8-92EA-DEE5E943659D,Hamish I. Marsh,9597 Ut Road,Mobile,36655,Alabama,Next-Day,685F104B-F24A-145D-4E81-A9854575132A,DELIVERED
663936396_C4F0C0ED-04F9-AF65-5BAB-6B4332FE1952,Angelica G. Moore,"Ap #459-4332 Ut, Avenue",Lawton,66734,OK,Standard,26F916BC-F533-2AAD-F5C9-EC42AD1F72CD,PREPARING SHIPMENT
663936397_E7A541D4-BD5B-6EFF-9E2C-C14BE638CB4F,Kevyn L. Wilder,"P.O. Box 708, 8771 Nullam St.",Hilo,52300,HI,Express,A35DEC08-325E-B400-3E20-E1B017CAB354,PREPARING SHIPMENT
663936398_1589C0FB-FA04-A457-E46B-5E9FA564F0DA,Jessica W. Wilkerson,"P.O. Box 356, 9381 Dictum Rd.",Salem,60528,Oregon,Next-Day,DB8746B7-D83A-184F-4059-5B0A02CCE720,IN NETWORK
663936399_F5EFA74D-51B8-414C-D196-989E3400E399,Gannon Y. Lancaster,759-7941 Iaculis Rd.,Springdale,72643,AR,Standard,32BB3C7F-47A7-EBCE-DA4F-6078D823517D,PENDING COLLECTION
663936400_5593569E-2B2B-5BD4-706A-69A8BC5A4DD0,Olympia K. Foreman,8863 Vivamus Ave,Bellevue,55066,Nebraska,Express,1A49C040-9ABD-E47E-D85B-68232737D23C,DELIVERED
663936401_B9E5283B-E972-BBE3-D34D-C8FF0185DBC2,Haviva F. Roth,"P.O. Box 728, 2681 Velit Avenue",Idaho Falls,75881,ID,Standard,331265F9-A29F-8202-5752-BC12EC8C7895,IN NETWORK
663936402_F3A319F1-88E3-78DB-4F08-FEA35B2C1DCC,Rigel H. Mcknight,"Ap #549-8957 Ut, Road",Salt Lake City,53603,UT,Express,D2F721C0-11B9-6396-9CF2-B9D1155BA026,DELIVERED
663936403_7FB1FE97-5A36-CDB8-5840-8A1E6345DE71,Serena V. Farmer,209-560 Aliquet Street,Hilo,47256,Hawaii,Express,62E3D957-13B7-D80C-E713-142707FE0539,PENDING COLLECTION
663936404_8980C363-438F-6D99-5C04-D8D48B2C156C,Autumn O. Peterson,4086 Varius Road,Kenosha,57361,Wisconsin,Standard,2A257EAC-075D-F8B4-95D6-415300E1A515,PENDING COLLECTION
663936405_75139B06-C6E7-7B19-7A4E-DAE6A91A3D88,Gisela M. Marks,Ap #751-5041 Enim. Rd.,Dover,72810,DE,Express,7F9674CA-E206-0BE6-A9B3-4C3A31DED018,IN NETWORK
663936406_C8DB0790-3351-B7E0-46D4-7A18E32FDB97,Maris C. Pittman,"P.O. Box 897, 2658 Egestas Street",Independence,75824,MO,Standard,44216DA7-0E49-BD10-DA9C-E1DFEED4BB72,IN NETWORK
663936407_19C7F896-3479-676A-8B00-20FAE943F017,Miriam Q. Kaufman,674 Sapien Rd.,Springfield,95405,Missouri,Express,AACE2542-D7E4-5AD4-F6F3-19ED566517F6,PENDING COLLECTION
663936408_92172493-0DD3-B4CC-653F-D3133B18B582,Kyle N. Rich,"1365 Vel, Avenue",Jacksonville,95498,Florida,Standard,DE77D0B8-0340-ACDD-50F4-79D097339B6D,PREPARING SHIPMENT
663936409_7C9012CF-ED56-A43B-B37F-B3E9B074CE9E,Ferdinand U. Justice,Ap #237-7919 Nulla Rd.,Des Moines,19132,IA,Express,5BA2C28E-212A-13C4-500D-EF50D5B0837B,PENDING COLLECTION
663936410_9DBE8AAE-BB00-CA57-64D5-BB56BAAAEF58,Uriah O. Cunningham,Ap #974-1531 Morbi St.,Allentown,26707,PA,Express,CE026C32-A47B-6E42-5F0F-C4BD4CB84050,PENDING COLLECTION
663936411_D267338E-235A-DBE6-380B-0D572E27149A,Vivien E. Figueroa,447-9857 Eu Ave,Sioux City,84025,IA,Standard,BF60CB87-BFA8-B45B-402C-5EE3D4585FEB,IN NETWORK
663936412_26F39A2B-C565-47E1-54D6-72BB59FB649C,Hermione G. Lynch,Ap #715-6979 Donec St.,Carson City,31161,Nevada,Standard,E7DA80D7-1D13-9573-2311-D49449E7DD0A,PREPARING SHIPMENT
663936413_0C411BCA-3885-0FDE-46C4-4F6D33295631,Honorato C. Parrish,310-1813 Erat St.,Allentown,93349,Pennsylvania,Express,3366F120-303B-8C68-2BAD-07ABB5DBD8E1,PENDING COLLECTION
663936414_CC903DA5-B120-7629-812A-18184B863AC5,Noble W. Bennett,122-5793 Dui. Ave,Springdale,72388,AR,Next-Day,1B627C10-8723-43DF-A4C5-1D2046043334,PREPARING SHIPMENT
663936415_BE8B66EA-37E5-86AF-E9F7-7EB97554337D,Juliet J. Hayden,"P.O. Box 442, 1342 In Rd.",Seattle,15174,Washington,Express,BAB3F46C-596B-9756-382E-190261B48B40,DELIVERED
663936416_2885E2D6-B000-A5CB-2180-8DD3D55857CA,Natalie V. Sexton,"P.O. Box 253, 2233 Nisi St.",Milwaukee,94106,Wisconsin,Standard,8C0CFA1E-B879-28E2-CC80-893385031719,IN NETWORK
663936417_38F2B7D3-4A0D-1430-223D-E372D6F30930,Harriet O. Rose,Ap #444-6077 Velit Street,Gillette,11684,WY,Next-Day,B8A5886E-4EE4-B92D-0DE2-882111A1303F,PENDING COLLECTION
663936418_6D2810B3-7C2C-0924-74BA-8A85AF31E53A,Shellie I. Powers,"P.O. Box 908, 5645 Orci, Rd.",Biloxi,44564,MS,Express,DE4B068F-4AB8-7AB0-6C3A-D2EB227CE73E,IN NETWORK
663936419_391E6E95-E45D-DFC6-AEBB-C61C04BA5F40,Indigo I. Lopez,309-4855 Sit Ave,Columbus,40601,Georgia,Express,AAD7D3D9-61EA-ADF5-A827-4E4678CD3795,PREPARING SHIPMENT
663936420_9961B766-BA03-AA71-E227-2279CF5261B5,Whitney U. Welch,Ap #733-1532 Est Street,Cincinnati,21960,OH,Next-Day,090F7257-434A-3623-FA07-8F28B289FAA3,PREPARING SHIPMENT
663936421_41A9F916-D91A-7F2D-D7BE-975D1EA7A351,Garrison P. Collins,Ap #497-9457 Leo. St.,Annapolis,92199,Maryland,Standard,DEF1BA0D-57E7-8E6A-E3F4-63A8EF117819,HANDED TO CARRIER
663936422_3C069043-4DE3-3E2D-18E6-9B5740B41010,Gannon D. Conley,"P.O. Box 862, 4428 Nam Rd.",Dallas,50674,TX,Next-Day,4CF60D4F-B204-EE39-6DB3-5DAE4EC580D5,IN NETWORK
663936423_0A15ABC5-45FF-4AF3-AB8C-896C5EE42904,Reece Y. Bennett,3820 Urna. Ave,Columbia,59455,MO,Next-Day,C16912B1-87F9-DA58-272C-56A594737190,PENDING COLLECTION
663936424_D89EA13F-F94E-9C5A-4397-79263C5B52C0,Plato N. Bell,4724 Proin Street,Nampa,78377,ID,Next-Day,A16FB564-A1C5-0082-FD65-16AEBA70BFD8,DELIVERED
663936425_6BFD8450-726D-78F9-DF41-09CF1EC2782A,Kellie N. Pate,6185 Sit Street,Norfolk,50803,Virginia,Next-Day,C23B1DEF-2C89-BCCF-E919-4695160E30F8,HANDED TO CARRIER
663936426_87C26648-FC5E-CD21-F516-4C53E0648A72,Ian E. Cardenas,Ap #832-6941 Mi. Av.,Boise,75170,ID,Next-Day,74E32B11-97C0-5507-DBB3-CCC7892CBEE5,DELIVERED
663936427_6BEF6A9A-4009-F469-3386-B1E47DB58815,Veda P. Vaughn,197-1638 Vestibulum Rd.,Southaven,97453,MS,Standard,789022F6-21A9-7E25-915D-FA13AC1224F6,DELIVERED
663936428_F69A4B80-3628-551E-9DBD-EDA0FD3E23F4,Libby L. Warren,"P.O. Box 753, 3017 Dolor St.",Salt Lake City,49167,Utah,Next-Day,1F47C828-A7F9-B1AA-6557-6CA8A5701699,HANDED TO CARRIER
663936429_366DA64D-6080-B484-1B13-D3AA00469346,Leroy D. Byrd,914-8526 Non Rd.,Kapolei,79504,Hawaii,Standard,0B2068BC-2E77-2EF8-C2AC-266DF2D73DAD,HANDED TO CARRIER
663936430_A9975090-D096-AC49-DB02-4D9537B1CA99,Roth X. Bowers,6034 Sed Road,Lexington,73744,KY,Express,B8354341-E7B4-4F0B-0265-ADA4E695C9C1,PREPARING SHIPMENT
663936431_A53D1908-FD86-2BF4-03FF-A87442AAC4D8,Ronan R. Mclaughlin,1889 Nisi. Rd.,Grand Island,82813,Nebraska,Next-Day,DE92B82B-1548-642A-E1F4-6A3F00765739,PREPARING SHIPMENT
663936432_E0F9CA9C-9996-BE37-05EA-F62AAD14F6A5,Rinah N. Gaines,"P.O. Box 342, 2511 In St.",San Antonio,39427,Texas,Next-Day,B6B04241-1E4C-1CC6-9D3D-F096B8B7ED0C,PREPARING SHIPMENT
663936433_4A66FC36-106D-D28C-5B44-A58DD9C287C4,Molly Y. Mcbride,1143 Lorem Ave,Wilmington,78227,DE,Next-Day,982761DC-721D-F35B-CA78-74717759DDC8,PENDING COLLECTION
663936434_42BEF0D9-67A2-9FAE-656B-9F2312D24673,Ruby B. Bolton,Ap #121-8537 Eu St.,Columbia,14231,MO,Express,44153CF0-1039-BCBA-E4F3-0CCE0306241C,IN NETWORK
663936435_737F627A-9DF9-A683-CF73-7E8B1B46E299,Ulysses N. Franklin,185-849 Eget Road,Cleveland,16952,Ohio,Express,30E581F6-FF8F-14C2-4038-1851D5D517CA,HANDED TO CARRIER
663936436_DA10BB27-76CB-1E2E-0258-3BAC34DDCDAD,Margaret L. Boyer,9789 Lacus. Street,Sandy,61212,UT,Express,5520B739-D9AD-5437-146F-C5D61BAE68EA,HANDED TO CARRIER
663936437_46695505-78C8-0129-7B55-0B884B5DCE53,Cole C. Padilla,"P.O. Box 208, 7097 Ante St.",Gresham,27907,OR,Next-Day,292F023F-8AD9-E827-C4B5-219203301780,PREPARING SHIPMENT
663936438_3E9C38CC-00BC-10B8-67A5-201ED8D8D51F,Iliana O. Harvey,1993 Velit. Av.,Fayetteville,71464,AR,Standard,588029A0-630C-59DE-1B42-3AE37E1D03E6,HANDED TO CARRIER
663936439_7D9FC80B-510F-71EF-D35B-99154F80D22E,Benjamin K. Richards,8652 Blandit Street,Cincinnati,45387,OH,Standard,51215B29-0654-73A1-0DC6-96609CD5881B,DELIVERED
663936440_7D4FB68E-156F-5232-EF53-194174E21FE6,Nell T. Bolton,Ap #592-8842 Tincidunt Road,Joliet,37219,Illinois,Express,7EF82C9B-017C-4FBB-6326-E84EAE4A6B57,IN NETWORK
663936441_EF2F01DE-5DC9-946B-228F-E123CCA09E75,Mara H. Shepherd,Ap #367-9229 Pellentesque Avenue,Boston,11504,MA,Express,B693ABE6-DAD1-7F01-F690-7ECE15417192,DELIVERED
663936442_0376489E-CA88-C4EB-FE0E-0EF7C57939DB,Lavinia O. Knox,7682 Massa. Avenue,Salt Lake City,58512,Utah,Standard,9097FEFE-7A2A-A452-B586-080A8858D36C,PENDING COLLECTION
663936443_207DF8CF-B248-8A17-6D7B-3D674E7EE7F6,Robert H. Gilliam,232 Enim. Avenue,Tulsa,32873,OK,Next-Day,CB12E2B5-5586-E815-5C35-0B2AF2B546FC,DELIVERED
663936444_883FA76D-DC53-7DD1-B7AA-6B0C12C55813,Camden W. Farrell,"P.O. Box 799, 8583 Laoreet, St.",Akron,14306,OH,Next-Day,FC8B4F9A-2801-1FD9-147C-0BEF345AF5E2,IN NETWORK
663936445_CF1FF0EE-B610-5CD1-0C72-BDC5E77266AD,Ferris P. Estes,518-7833 Eget Rd.,Waterbury,35600,CT,Standard,722B2151-DBDB-83B9-BF8A-7046E2EAF9C8,PREPARING SHIPMENT
663936446_B3D57AB2-C16C-9833-332F-85193E34A87F,Rajah T. Barnes,"Ap #843-8328 Imperdiet, Rd.",Frankfort,79913,Kentucky,Standard,889F0B8E-CD9C-2083-3053-E031071B9F13,IN NETWORK
663936447_2E2236AE-1D16-2D44-CF22-C493D1FCCDA3,Tanner H. Gibson,Ap #537-5937 Dui. Avenue,Topeka,71261,Kansas,Express,C8BBEAA4-ECA7-C6F7-912B-BBBEB8BD55AC,IN NETWORK
663936448_46FFFD1E-819F-7EBA-8E1A-0F2B8EE44516,Belle V. Blevins,868-1275 Suspendisse St.,Lexington,52032,KY,Standard,70957D3E-6EBD-F619-7563-64F1402A289D,PREPARING SHIPMENT
663936449_B793D941-7278-A4FE-ACBA-1573916FCDA2,Anika B. Hobbs,Ap #838-2616 Sem Avenue,Miami,32620,Florida,Standard,EED9F0B4-D4B9-9FF9-7569-222F5EDEB94A,HANDED TO CARRIER
663936450_7E0A5AAC-EBF3-6BF6-3A47-622AF30905E2,Nola B. Montoya,"P.O. Box 398, 6343 Tristique Ave",Jacksonville,98897,Florida,Express,F6527401-30C3-F7B6-499A-901943A86C56,PENDING COLLECTION
663936451_782DC12E-B47E-3935-3DA4-B9E1DC68FB01,Macy G. Sargent,Ap #704-8286 Adipiscing Av.,St. Petersburg,94544,FL,Express,792D320A-2800-E691-D55C-2E6E1D745402,PENDING COLLECTION
663936452_86A58279-4DCE-4C1E-9092-96D96C741648,Chandler T. Watson,"665-2950 Id, Ave",South Bend,71310,Indiana,Standard,80981764-6E64-B8C8-0027-7F9BFF4F91AC,DELIVERED
663936453_BD4D87EA-BE58-39B4-21FB-A6A1E177136B,Kyle T. Fields,9583 Magna St.,Bloomington,49285,MN,Express,6950885A-62D2-CA79-5907-86A2A3A5452F,PREPARING SHIPMENT
663936454_7F873791-E63F-D5AA-D7D4-74C2293BB58C,Dana R. Whitaker,4062 Sed Ave,Fresno,91524,California,Standard,622F27A6-0669-3712-4BA2-B3DFFD539864,PENDING COLLECTION
663936455_42885354-D0AD-F553-553B-336BB61C07E1,Carson N. Cox,"P.O. Box 714, 2537 Ultricies Street",West Valley City,25699,Utah,Standard,A684E328-715E-018C-C520-699600129A4F,PENDING COLLECTION
663936456_456268CA-A409-BCF1-9CAE-8E98A012D15B,Hyacinth Z. Stein,"2060 Ullamcorper, Street",Columbus,12087,Ohio,Standard,CB0FD0FE-DFF8-DDE3-122D-5740F822BD6B,PENDING COLLECTION
663936457_2B3EE5AB-D3DC-08B6-8184-DB3EDB59623F,Quinlan R. Stevens,6116 Pharetra. Street,Fort Smith,72090,Arkansas,Express,C7FB2C93-C8DA-043E-C34E-EA6DC1F0DAB7,IN NETWORK
663936458_626F5EDA-A182-7C4A-4470-F1503C135058,Amela A. Parker,"4407 Mi, Av.",Sandy,13143,Utah,Next-Day,367B0A94-2809-FCA6-760A-CDE05A7A0586,DELIVERED
663936459_7E0D4BB5-12F3-7352-831B-A7840408B37C,Lawrence S. Clarke,639-3896 Justo St.,Hilo,25775,HI,Express,23CCE9E3-8A95-AF16-F760-920C2D3B8774,HANDED TO CARRIER
663936460_EFE12458-BC61-436D-7C18-F711E85378D9,Remedios M. Lott,4842 Primis Rd.,Memphis,78640,TN,Standard,B1718A3F-A66B-8680-12A7-879E702B2D51,PREPARING SHIPMENT
663936461_E6E1A47E-815B-7256-6605-7F35C9188582,Zenaida H. Delgado,480-9100 Fusce Rd.,West Jordan,33325,UT,Standard,4926E501-5897-1B9C-80C9-B7E3593ADBE5,DELIVERED
663936462_CFC84AC7-2725-9879-5DD9-8F074CF6CE33,Stewart X. Osborn,4324 Tellus. Street,Nashville,21653,Tennessee,Standard,4ECFBE2C-3E41-E182-60A1-3B9E9CFF90F7,PENDING COLLECTION
663936463_D3BC0EBF-FF91-E19A-3ADD-F4B8B5FCB2F3,Shellie J. Benton,Ap #524-9838 Euismod Road,Huntsville,36426,Alabama,Standard,95DD146F-72FA-891A-3241-2C36E37B426F,IN NETWORK
663936464_78619211-4B6D-B1F7-DC8C-E7A43EF7EEFC,Hoyt B. Gill,2138 Vulputate Ave,Orlando,99330,FL,Next-Day,5DC80796-56B1-EFDE-2EC9-776DD3D3D595,IN NETWORK
663936465_4A6B4CC3-7108-7F30-21A2-D16927507ABC,Elton W. Holloway,Ap #521-8921 Ullamcorper Street,Columbia,15429,Maryland,Express,62123261-2055-496E-C56D-67799FE358C6,HANDED TO CARRIER
663936466_2D073639-A9B7-A51A-1A14-965167C4BA24,Hedwig U. Banks,"499-1529 Montes, Rd.",Colorado Springs,32526,CO,Express,7BBF86F3-E4F3-834E-D719-355D4AD933A7,DELIVERED
663936467_725BD58D-9643-C51C-6327-7F3592CD96F8,Gail R. Small,2695 Sed Ave,Hartford,23519,CT,Next-Day,792BDD00-FA8F-E4B6-DF25-9B422D3564DE,PREPARING SHIPMENT
663936468_B1D1B195-0A41-80D7-FE84-C518DF99DD8F,Jemima I. Santos,Ap #670-9239 Dignissim Road,Southaven,20844,MS,Next-Day,4A99E72F-0E67-A45C-2545-077EE6D07592,IN NETWORK
663936469_9D759ADC-AAC4-A837-5BF4-75655D8EA99E,Forrest Q. Bolton,Ap #427-1228 Fames Rd.,Rutland,69685,VT,Standard,AEF1D213-27E6-136E-F232-1C6C61EC9220,PENDING COLLECTION
663936470_E12A97D6-3FB6-873C-5270-DA05A327A393,Joy Q. Miles,991-1646 Turpis Road,Erie,32489,PA,Standard,BA2C6A75-7E08-D92D-983F-62D15362E6DA,DELIVERED
663936471_FB7F2106-4796-E39E-E184-460D647A0522,Dylan J. York,"P.O. Box 611, 4594 Sem St.",New Haven,18994,CT,Standard,E9D78D57-E232-C676-9263-D092FF296B44,PREPARING SHIPMENT
663936472_2E03A511-26D3-DCF7-A780-AAE98D256E62,Mannix W. Ratliff,"539 Leo, Av.",Springfield,71937,Missouri,Express,02FAA88A-7AAD-154A-E384-1D64F4EB23C8,HANDED TO CARRIER
663936473_B36F307E-B3FF-2809-3760-9E40D94DA40F,Joelle W. Hicks,"P.O. Box 673, 6826 Parturient Av.",San Francisco,93377,California,Express,7B82FEA6-9985-F00D-90D4-B942B364B93D,PENDING COLLECTION
663936474_ABCD2535-E4A1-63A9-055B-BC746CE6BDD5,Cora R. Osborn,"187-6610 Vel, St.",Evansville,70889,Indiana,Express,BF9B4F45-48A7-EE32-58BC-B232FB73C0FB,IN NETWORK
663936475_0A521B88-F1B8-EDAF-0D4F-496D5364001D,Chantale Q. Mcmillan,945-5819 Nascetur St.,Frederick,51919,MD,Next-Day,91D10478-5B7F-4DB0-D122-D6084F216CE4,PREPARING SHIPMENT
663936476_EEC7EAEF-A9AA-F3A9-4425-5D63FA21C7CD,Lavinia H. Sweeney,9803 Tristique Rd.,Springfield,75010,MO,Express,7E6FE241-653E-6F65-6785-73A2FC32CDD4,HANDED TO CARRIER
663936477_516EF49B-ABE8-61B3-0854-52C496A25866,Molly K. Johns,"P.O. Box 492, 6070 Mus. Rd.",Harrisburg,98805,Pennsylvania,Next-Day,C3477503-3013-CB8B-CBB9-2864E2926749,HANDED TO CARRIER
663936478_FE1D0CB0-14BE-024C-8C2B-BF691903814B,Brittany R. Wilkinson,"P.O. Box 733, 6311 Urna. St.",Great Falls,50311,Montana,Next-Day,80E09275-D8B6-225E-3166-12DDD5CCF5C8,PREPARING SHIPMENT
663936479_1A350F91-5926-F3F0-A321-A335D60E9A53,Kenyon T. Phillips,486-9194 Egestas Street,Nashville,16062,Tennessee,Express,A05D2C20-DBE1-AFAD-ADF0-913D8AB5D5B7,PREPARING SHIPMENT
663936480_83637FFC-D174-F7E3-BD19-9A86CA232D43,Ciara A. Wright,"765-4853 A, Road",Waterbury,14586,Connecticut,Next-Day,A3693375-358B-9A2A-3415-A69DADC47F6E,PENDING COLLECTION
663936481_1719265B-83C2-44D6-335B-B9196D25F82B,Caleb G. Justice,Ap #122-3549 Metus St.,Little Rock,71101,Arkansas,Standard,3907200F-F201-33A5-8857-9E9911A3C804,PENDING COLLECTION
663936482_906F02A6-FEBD-4E1F-0FBA-2F7843124A57,Chastity G. Mitchell,897-1298 Aenean Street,Cedar Rapids,74184,IA,Express,21F88F01-D07C-54C9-59FE-5C8948E8B9FA,HANDED TO CARRIER
663936483_7B2B194F-015F-450E-4586-4CF355072F2E,Anjolie I. Nixon,"3249 Erat, Street",College,99538,AK,Next-Day,279B731C-2EFB-7466-970C-E97470EDE17B,IN NETWORK
